president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Joseph R. Biden Jr.,Voters,4/23/2021,54.322518,59.948448,48.696589,40.641015,45.994519,35.287512,18:01:08 23 Apr 2021
Joseph R. Biden Jr.,Adults,4/23/2021,53.173693,58.356746,47.990639,38.856646,43.030728,34.682564,18:01:07 23 Apr 2021
Joseph R. Biden Jr.,All polls,4/23/2021,53.751111,59.197102,48.305121,39.913626,45.088861,34.738391,18:01:06 23 Apr 2021
Joseph R. Biden Jr.,All polls,4/22/2021,53.266932,58.628734,47.905131,40.234692,45.676924,34.792459,21:22:09 22 Apr 2021
Joseph R. Biden Jr.,Adults,4/22/2021,52.974175,58.188145,47.760206,38.880573,43.101932,34.659215,21:22:10 22 Apr 2021
Joseph R. Biden Jr.,Voters,4/22/2021,53.83098,59.323187,48.338772,41.105167,46.616569,35.593764,21:22:11 22 Apr 2021
Joseph R. Biden Jr.,Adults,4/21/2021,53.118453,58.454254,47.782653,38.652505,43.004638,34.300373,10:15:08 21 Apr 2021
Joseph R. Biden Jr.,Voters,4/21/2021,53.851883,59.324807,48.37896,40.998809,46.381067,35.616551,10:15:09 21 Apr 2021
Joseph R. Biden Jr.,All polls,4/21/2021,53.431994,58.903302,47.960686,40.051306,45.435864,34.666747,10:15:08 21 Apr 2021
Joseph R. Biden Jr.,Voters,4/20/2021,53.740306,59.276514,48.204099,41.488948,46.764667,36.213229,13:35:08 20 Apr 2021
Joseph R. Biden Jr.,Adults,4/20/2021,53.030946,58.185095,47.876797,39.363616,43.729111,34.998121,13:35:08 20 Apr 2021
Joseph R. Biden Jr.,All polls,4/20/2021,53.455244,58.891109,48.019379,40.625908,45.957416,35.294401,13:35:07 20 Apr 2021
Joseph R. Biden Jr.,Voters,4/19/2021,53.536109,59.053098,48.019119,41.600263,46.738459,36.462067,09:33:11 19 Apr 2021
Joseph R. Biden Jr.,All polls,4/19/2021,53.283328,58.675568,47.891089,40.57157,45.758733,35.384407,09:33:06 19 Apr 2021
Joseph R. Biden Jr.,Adults,4/19/2021,52.812053,57.894426,47.729679,39.470112,43.740217,35.200007,09:33:09 19 Apr 2021
Joseph R. Biden Jr.,Adults,4/18/2021,52.812053,57.894426,47.729679,39.470112,43.740217,35.200007,09:33:10 19 Apr 2021
Joseph R. Biden Jr.,Voters,4/18/2021,53.503212,59.006867,47.999557,41.641446,46.741425,36.541468,09:33:11 19 Apr 2021
Joseph R. Biden Jr.,All polls,4/18/2021,53.242339,58.63743,47.847248,40.60295,45.751977,35.453924,09:33:08 19 Apr 2021
Joseph R. Biden Jr.,All polls,4/17/2021,53.242339,58.63743,47.847248,40.60295,45.751977,35.453924,09:33:09 19 Apr 2021
Joseph R. Biden Jr.,Voters,4/17/2021,53.503212,59.006867,47.999557,41.641446,46.741425,36.541468,09:33:12 19 Apr 2021
