modeldate,Unnamed: 0,text,retweet_count,favorite_count,approve_estimate,disapprove_estimate
4/23/2021,1,Heading back to Georgia with @DrBiden next Thursday to mark 100 days of our administration and thank folks for helping us build back better as a nation. See you soon!,3704,47202,53.751111,39.913626
4/22/2021,2,"RT @WhiteHouse: Before taking office, President Biden set a bold goal of 100 million shots in his first 100 days.
 
After reaching the goal…",2386,0,53.266932,40.234691999999995
4/22/2021,3,RT @POTUS: America is back. We rejoined the Paris Agreement and are ready to rally the world to tackle the climate crisis. Let’s do this.,18090,0,53.266932,40.234691999999995
4/21/2021,4,"RT @POTUS: The guilty verdict does not bring back George Floyd. But through the family’s pain, they are finding purpose so George’s legacy…",3814,0,53.431993999999996,40.051306
4/20/2021,5,"RT @POTUS: Today, a jury in Minnesota found former Minneapolis Police Officer Derek Chauvin guilty of murdering George Floyd.
 
The verdict…",8597,0,53.45524399999999,40.625908
4/20/2021,6,RT @WhiteHouse: Live: President Biden and Vice President Harris address the nation on the verdict in the trial of Derek Chauvin. https://t.…,2024,0,53.45524399999999,40.625908
4/20/2021,7,"If we act now on the American Jobs Plan, in 50 years, people will look back and say this was the moment that America won the future. https://t.co/ZOJGr9E2i3",2636,19466,53.45524399999999,40.625908
4/19/2021,8,"Today, every adult is eligible to get a COVID-19 vaccine. Better days are ahead.",17467,191091,53.283328000000004,40.57157
4/18/2021,9,"RT @POTUS: Imagine a future where we lead the world and tackle the threat of climate change with American jobs and ingenuity.

We can make…",5241,0,53.242339,40.60295
4/16/2021,10,RT @POTUS: Vice President Harris and I have been briefed on the mass shooting at a FedEx facility in Indianapolis. God bless the eight indi…,6644,0,53.242339,40.60295
4/16/2021,11,RT @POTUS: I’m looking forward to welcoming my friend Prime Minister Suga to the White House this afternoon for the first foreign leader vi…,4073,0,53.242339,40.60295
4/14/2021,12,"RT @POTUS: It is time to end America’s longest war. 

It is time for American troops to come home from Afghanistan.",13046,0,52.479558,40.920696
4/14/2021,13,RT @WHCOVIDResponse: We continue to make progress in our work to vaccinate as many adults in this country as we can. Our current 7-day dail…,845,0,52.479558,40.920696
4/14/2021,14,"RT @POTUS: Today, the FDA and CDC recommended a pause in the use of the Johnson &amp; Johnson vaccine. Here’s what you need to know: https://t.…",3498,0,52.479558,40.920696
4/13/2021,15,"RT @POTUS: “When the will defies fear, when duty throws the gauntlet down to fate, when honor scorns to compromise with death — that is her…",3184,0,53.571123,39.525347
4/13/2021,16,"RT @POTUS: Race should never determine health outcomes — and pregnancy and childbirth should be safe for all. But for too many Black women,…",2886,0,53.571123,39.525347
4/12/2021,17,"RT @POTUS: Today I’m thinking about Daunte Wright and his family — and the pain, anger, and trauma that Black America experiences every day…",14067,0,53.582871999999995,39.497847
4/10/2021,18,RT @POTUS: Gun violence in this country is an epidemic — and it’s long past time Congress take action.,15850,0,53.59475,39.569551000000004
3/31/2021,31,"Wall Street didn’t build this country—the great American middle class did. This time, when we rebuild the middle class under the American Jobs Plan, we’re bringing everyone along.",11413,107792,54.106209,39.480767
3/31/2021,32,"Delivering for the American people is what the American Rescue Plan was about. It’s what the American Jobs Plan is about.

We can do this.
We have to do this.
We will do this.",2253,19213,54.106209,39.480767
3/31/2021,33,"The American Jobs Plan is a once-in-a-generation investment in America. It will:
✅Modernize 20,000 miles of highways, roads, and main streets
✅Repair 10,000 bridges desperately in need of upgrades 
✅Replace 100% of our nation’s lead pipes and service lines",4110,25537,54.106209,39.480767
3/31/2021,34,"Millions of Americans lost their jobs last year.

Here’s the truth: We all do better when we all do well. It’s time to build our economy from the bottom up—and the middle out—not the top down.",5454,46442,54.106209,39.480767
3/30/2021,35,RT @POTUS: We can’t be silent in the face of rising violence against Asian Americans. That’s why today I’m taking additional steps to respo…,10930,0,53.904588000000004,39.536628
3/29/2021,36,"RT @POTUS: I’m proud to announce that three weeks from today, 90% of adults will be eligible to get vaccinated — and 90% of Americans will…",20738,0,54.124379000000005,39.430828000000005
3/29/2021,37,RT @POTUS: Vice President Harris and I just wrapped up a COVID-19 briefing. Tune in as I give an update on our response to the virus and th…,1746,0,54.124379000000005,39.430828000000005
3/28/2021,38,"RT @POTUS: Two weeks ago, I directed all states, tribes, and territories to make all adult Americans eligible for the vaccine no later than…",6654,0,54.021846999999994,39.663270000000004
3/27/2021,39,"RT @WhiteHouse: Megan Rapinoe, Margaret Purce, and countless others have been leading the fight for pay equality. This week, the President…",2392,0,54.021846999999994,39.663270000000004
3/26/2021,40,"RT @POTUS: As we recall the Passover story of overcoming adversity, finding hope, and becoming free, we find a renewed salience. This weeke…",3467,0,54.021846999999994,39.663270000000004
3/26/2021,41,"RT @POTUS: I ran for president for three reasons: to restore the soul of the nation, rebuild the middle class, and unite the country. https…",5154,0,54.021846999999994,39.663270000000004
3/25/2021,42,"RT @POTUS: Before I took office, I set a big goal of 100 million shots in my first 100 days.
 
We hit the goal on day 58.
 
Now, I’m settin…",10209,0,53.974146999999995,39.712355
3/25/2021,43,"RT @POTUS: This afternoon, I’m holding my first formal press conference as president. Tune in. https://t.co/dvl1RAtOjr",2638,0,53.974146999999995,39.712355
3/24/2021,44,"RT @WHCOVIDResponse: In total, 84 million people -- about 1 in 3 adults -- have received at least one dose of the vaccine and more than 45…",1814,0,54.380435,39.780839
3/24/2021,45,"RT @WhiteHouse: President Biden believes every single American deserves access to quality, affordable health care. Here’s a breakdown of ho…",3131,0,54.380435,39.780839
3/23/2021,46,RT @POTUS: Jill and I are devastated for the lives that have been shattered by gun violence in Colorado. Less than a week after the horrifi…,5216,0,54.974286,39.208636
3/22/2021,47,RT @WhiteHouse: Big news: The Biden-Harris Administration set a new record this weekend with 6 million shots reported administered. We’re r…,4031,0,55.064562,39.104932
3/22/2021,48,"RT @POTUS: Under the American Rescue Plan, the typical family of four is getting a $5,600 check. That money helps folks keep a roof over th…",7786,0,55.064562,39.104932
3/21/2021,49,"RT @POTUS: Mask up, America. https://t.co/6yaUHYmzWC",19687,0,54.326912,39.946276
3/21/2021,50,"RT @WhiteHouse: Before President Biden took office, the U.S. was administering an average of 900,000 COVID-19 vaccine doses a day.

Last we…",4052,0,54.326912,39.946276
3/20/2021,51,"RT @POTUS: Like countless people across the country, Jocelyn and her family are struggling to make ends meet. I gave her a call to discuss…",3733,0,54.326912,39.946276
3/19/2021,52,"RT @POTUS: Words have consequences. 

It’s called the coronavirus.

Full stop.",23795,0,54.326912,39.946276
3/19/2021,53,"RT @POTUS: This afternoon, Vice President Harris and I are meeting with Asian American leaders in Atlanta, Georgia. We’re going to discuss…",7600,0,54.326912,39.946276
3/19/2021,54,"RT @WhiteHouse: Big News: President Biden announced that tomorrow, our Administration will hit 100 million COVID-19 shots administered. 

T…",6294,0,54.326912,39.946276
3/18/2021,55,"RT @POTUS: In honor of the victims of the senseless shootings in Atlanta, I’ve ordered the flag of the United States to be flown at half-st…",7536,0,54.03611899999999,39.985409000000004
