date,approving
2017-01-19,59
2017-01-18,59
2017-01-17,59
2017-01-16,59
2017-01-15,57
2017-01-14,57
2017-01-13,57
2017-01-12,57
2017-01-11,57
2017-01-10,57
2017-01-09,57
2017-01-08,55
2017-01-07,55
2017-01-06,55
2017-01-05,55
2017-01-04,55
2017-01-03,55
2017-01-02,55
2017-01-01,55
2016-12-31,55
2016-12-30,55
2016-12-29,55
2016-12-28,55
2016-12-27,55
2016-12-26,55
2016-12-25,56
2016-12-24,56
2016-12-23,56
2016-12-22,56
2016-12-21,56
2016-12-20,56
2016-12-19,56
2016-12-18,56
2016-12-17,56
2016-12-16,56
2016-12-15,56
2016-12-14,56
2016-12-13,56
2016-12-12,56
2016-12-11,57
2016-12-10,57
2016-12-09,57
2016-12-08,57
2016-12-07,57
2016-12-06,57
2016-12-05,57
2016-12-04,54
2016-12-03,54
2016-12-02,54
2016-12-01,54
2016-11-30,54
2016-11-29,54
2016-11-28,54
2016-11-27,56
2016-11-26,56
2016-11-25,56
2016-11-24,56
2016-11-23,56
2016-11-22,56
2016-11-21,56
2016-11-20,56
2016-11-19,56
2016-11-18,56
2016-11-17,56
2016-11-16,56
2016-11-15,56
2016-11-14,56
2016-11-13,57
2016-11-12,57
2016-11-11,57
2016-11-10,57
2016-11-09,57
2016-11-08,57
2016-11-07,57
2016-11-06,53
2016-11-05,53
2016-11-04,53
2016-11-03,53
2016-11-02,53
2016-11-01,53
2016-10-31,53
2016-10-30,54
2016-10-29,54
2016-10-28,54
2016-10-27,54
2016-10-26,54
2016-10-25,54
2016-10-24,54
2016-10-23,55
2016-10-22,55
2016-10-21,55
2016-10-20,55
2016-10-19,55
2016-10-18,55
2016-10-17,55
2016-10-16,54
2016-10-15,54
2016-10-14,54
2016-10-13,54
2016-10-12,54
2016-10-11,54
2016-10-10,54
2016-10-09,52
2016-10-08,52
2016-10-07,52
2016-10-06,52
2016-10-05,52
2016-10-04,52
2016-10-03,52
2016-10-02,53
2016-10-01,53
2016-09-30,53
2016-09-29,53
2016-09-28,53
2016-09-27,53
2016-09-26,53
2016-09-25,53
2016-09-24,53
2016-09-23,53
2016-09-22,53
2016-09-21,53
2016-09-20,53
2016-09-19,53
2016-09-18,52
2016-09-17,52
2016-09-16,52
2016-09-15,52
2016-09-14,52
2016-09-13,52
2016-09-12,52
2016-09-11,51
2016-09-10,51
2016-09-09,51
2016-09-08,51
2016-09-07,51
2016-09-06,51
2016-09-05,51
2016-09-04,52
2016-09-03,52
2016-09-02,52
2016-09-01,52
2016-08-31,52
2016-08-30,52
2016-08-29,52
2016-08-28,51
2016-08-27,51
2016-08-26,51
2016-08-25,51
2016-08-24,51
2016-08-23,51
2016-08-22,51
2016-08-21,51
2016-08-20,51
2016-08-19,51
2016-08-18,51
2016-08-17,51
2016-08-16,51
2016-08-15,51
2016-08-14,52
2016-08-13,52
2016-08-12,52
2016-08-11,52
2016-08-10,52
2016-08-09,52
2016-08-08,52
2016-08-07,52
2016-08-06,52
2016-08-05,52
2016-08-04,52
2016-08-03,52
2016-08-02,52
2016-08-01,52
2016-07-31,53
2016-07-30,53
2016-07-29,53
2016-07-28,53
2016-07-27,53
2016-07-26,53
2016-07-25,53
2016-07-24,49
2016-07-23,49
2016-07-22,49
2016-07-21,49
2016-07-20,49
2016-07-19,49
2016-07-18,49
2016-07-17,49
2016-07-16,49
2016-07-15,49
2016-07-14,49
2016-07-13,49
2016-07-12,49
2016-07-11,49
2016-07-10,51
2016-07-09,51
2016-07-08,51
2016-07-07,51
2016-07-06,51
2016-07-05,51
2016-07-04,51
2016-07-03,51
2016-07-02,51
2016-07-01,51
2016-06-30,51
2016-06-29,51
2016-06-28,51
2016-06-27,51
2016-06-26,50
2016-06-25,50
2016-06-24,50
2016-06-23,50
2016-06-22,50
2016-06-21,50
2016-06-20,50
2016-06-19,53
2016-06-18,53
2016-06-17,53
2016-06-16,53
2016-06-15,53
2016-06-14,53
2016-06-13,53
2016-06-12,53
2016-06-11,53
2016-06-10,53
2016-06-09,53
2016-06-08,53
2016-06-07,53
2016-06-06,53
2016-06-05,51
2016-06-04,51
2016-06-03,51
2016-06-02,51
2016-06-01,51
2016-05-31,51
2016-05-30,51
2016-05-29,52
2016-05-28,52
2016-05-27,52
2016-05-26,52
2016-05-25,52
2016-05-24,52
2016-05-23,52
2016-05-22,51
2016-05-21,51
2016-05-20,51
2016-05-19,51
2016-05-18,51
2016-05-17,51
2016-05-16,51
2016-05-15,51
2016-05-14,51
2016-05-13,51
2016-05-12,51
2016-05-11,51
2016-05-10,51
2016-05-09,51
2016-05-08,52
2016-05-07,52
2016-05-06,52
2016-05-05,52
2016-05-04,52
2016-05-03,52
2016-05-02,52
2016-05-01,51
2016-04-30,51
2016-04-29,51
2016-04-28,51
2016-04-27,51
2016-04-26,51
2016-04-25,51
2016-04-24,51
2016-04-23,51
2016-04-22,51
2016-04-21,51
