,modeldate,text,retweet_count,favorite_count
0,2021-04-24 16:38:57,Let’s close the digital divide once and for all. Our American Jobs Plan will make sure every American has access to high-speed internet. https://t.co/Ru1NSfN7C0,1771,13735
1,2021-04-23 15:58:13,Heading back to Georgia with @DrBiden next Thursday to mark 100 days of our administration and thank folks for helping us build back better as a nation. See you soon!,3704,47202
2,2021-04-22 17:17:26,"RT @WhiteHouse: Before taking office, President Biden set a bold goal of 100 million shots in his first 100 days.
 
After reaching the goal…",2386,0
3,2021-04-22 17:17:12,RT @POTUS: America is back. We rejoined the Paris Agreement and are ready to rally the world to tackle the climate crisis. Let’s do this.,18090,0
4,2021-04-21 16:30:38,"RT @POTUS: The guilty verdict does not bring back George Floyd. But through the family’s pain, they are finding purpose so George’s legacy…",3814,0
5,2021-04-20 23:19:51,"RT @POTUS: Today, a jury in Minnesota found former Minneapolis Police Officer Derek Chauvin guilty of murdering George Floyd.
 
The verdict…",8597,0
6,2021-04-20 23:08:04,RT @WhiteHouse: Live: President Biden and Vice President Harris address the nation on the verdict in the trial of Derek Chauvin. https://t.…,2024,0
7,2021-04-20 17:33:04,"If we act now on the American Jobs Plan, in 50 years, people will look back and say this was the moment that America won the future. https://t.co/ZOJGr9E2i3",2636,19466
8,2021-04-19 20:33:25,"Today, every adult is eligible to get a COVID-19 vaccine. Better days are ahead.",17467,191091
9,2021-04-18 13:57:35,"RT @POTUS: Imagine a future where we lead the world and tackle the threat of climate change with American jobs and ingenuity.

We can make…",5241,0
10,2021-04-16 21:32:03,RT @POTUS: Vice President Harris and I have been briefed on the mass shooting at a FedEx facility in Indianapolis. God bless the eight indi…,6644,0
11,2021-04-16 17:56:01,RT @POTUS: I’m looking forward to welcoming my friend Prime Minister Suga to the White House this afternoon for the first foreign leader vi…,4073,0
12,2021-04-14 18:54:48,"RT @POTUS: It is time to end America’s longest war. 

It is time for American troops to come home from Afghanistan.",13046,0
13,2021-04-14 17:12:44,RT @WHCOVIDResponse: We continue to make progress in our work to vaccinate as many adults in this country as we can. Our current 7-day dail…,845,0
14,2021-04-14 00:31:02,"RT @POTUS: Today, the FDA and CDC recommended a pause in the use of the Johnson &amp; Johnson vaccine. Here’s what you need to know: https://t.…",3498,0
